card_id	issuer_id	cobrand_partner	display_name	tier	network	lifecycle_status	mapping_status	annual_fee_mxn	annual_fee_includes_iva	annual_fee_first_year_waived	interest_rate_annual_pct	cat_promedio_pct	base_reward_type	base_reward_rate	point_value_mxn	effective_rate_pct	min_income_mxn_monthly	invitation_only	notes	conf_identity	conf_cost	conf_rewards	conf_perks	conf_eligibility
afirme__blanc	afirme		Tarjeta de Crédito Afirme Blanc	UNKNOWN	UNKNOWN	active	skeleton																	
afirme__basica	afirme		Tarjeta de Crédito Afirme Básica	UNKNOWN	UNKNOWN	active	skeleton																	
afirme__clasica	afirme		Tarjeta de Crédito Afirme Clásica	UNKNOWN	UNKNOWN	active	skeleton																	
afirme__gc	afirme		Tarjeta de Crédito Afirme GC	UNKNOWN	UNKNOWN	active	skeleton																	
afirme__oro	afirme		Tarjeta de Crédito Afirme Oro	UNKNOWN	UNKNOWN	active	skeleton																	
afirme__platinum	afirme		Tarjeta de Crédito Afirme Platinum	UNKNOWN	UNKNOWN	active	skeleton																	
banca_mifel__mifel_basica	banca_mifel		Tarjeta de Crédito Mifel Básica	UNKNOWN	UNKNOWN	active	skeleton																	
banca_mifel__mifel_leones	banca_mifel		Tarjeta de Crédito Mifel Leones	UNKNOWN	UNKNOWN	active	skeleton																	
banca_mifel__mifel_mexicana	banca_mifel		Tarjeta de Crédito Mifel Mexicana	UNKNOWN	UNKNOWN	active	skeleton																	
banca_mifel__mifel_miles_more_world_elite	banca_mifel		Tarjeta de Crédito Mifel Miles & More World Elite	UNKNOWN	UNKNOWN	active	skeleton																	
banca_mifel__mifel_oro	banca_mifel		Tarjeta de Crédito Mifel Oro	UNKNOWN	UNKNOWN	active	skeleton																	
banca_mifel__mifel_platino	banca_mifel		Tarjeta de Crédito Mifel Platino	UNKNOWN	UNKNOWN	active	skeleton																	
banca_mifel__mifel_world_elite	banca_mifel		Tarjeta de Crédito Mifel World Elite	UNKNOWN	UNKNOWN	active	skeleton																	
banco_azteca__oro_garantizada	banco_azteca		Tarjeta de Crédito Oro Garantizada	UNKNOWN	UNKNOWN	active	skeleton																	
banco_azteca__oro_garantizada_vas	banco_azteca		Tarjeta de Crédito Oro Garantizada VAS	UNKNOWN	UNKNOWN	active	skeleton																	
banco_azteca__vas	banco_azteca		Tarjeta de Crédito VAS	UNKNOWN	UNKNOWN	active	skeleton																	
banco_inbursa__inbursa_black_american_express	banco_inbursa		Tarjeta de Crédito Inbursa Black American Express	UNKNOWN	UNKNOWN	active	skeleton																	
banco_inbursa__inbursa_clasica	banco_inbursa		Tarjeta de Crédito Inbursa Clásica	UNKNOWN	UNKNOWN	active	skeleton																	
banco_inbursa__inbursa_oro	banco_inbursa		Tarjeta de Crédito Inbursa Oro	oro	visa_mastercard	active	mapped	540	FALSE	UNKNOWN	52.31	70.2	none	UNKNOWN	NOT_APPLICABLE	0	UNKNOWN	FALSE	Comisión administración $540 sin IVA	high	low	low	high	medium
banco_inbursa__inbursa_platinum	banco_inbursa		Tarjeta de Crédito Inbursa Platinum	platinum	visa_mastercard	active	mapped	1320	FALSE	UNKNOWN	33.85	42.1	none	UNKNOWN	NOT_APPLICABLE	0	UNKNOWN	FALSE	Comisión $1320 sin IVA; lowest CAT among listed	high	medium	medium	high	high
banco_inbursa__inbursa_optima	banco_inbursa		Tarjeta de Crédito Inbursa Óptima	UNKNOWN	UNKNOWN	active	skeleton																	
banco_inbursa__telcel_oro	banco_inbursa		Tarjeta Telcel Oro	UNKNOWN	UNKNOWN	active	skeleton																	
bancoppel__tarjeta_de_credito_bancoppel	bancoppel		Tarjeta de Crédito BanCoppel	básica	visa	active	mapped	0	UNKNOWN	UNKNOWN	63.1	85.3	none	UNKNOWN	NOT_APPLICABLE	0	UNKNOWN	FALSE	2023 secondary source; needs official verification	medium	low	low	medium	medium
bancoppel__infinite	bancoppel		Tarjeta de Crédito BanCoppel Infinite	UNKNOWN	UNKNOWN	active	skeleton																	
bancoppel__oro	bancoppel		Tarjeta de Crédito BanCoppel Oro	UNKNOWN	UNKNOWN	active	skeleton																	
bancoppel__platinum	bancoppel		Tarjeta de Crédito BanCoppel Platinum	UNKNOWN	UNKNOWN	active	skeleton																	
banjercito__basica	banjercito		Tarjeta de Crédito Banjercito Básica	UNKNOWN	UNKNOWN	active	skeleton																	
banjercito__infinite	banjercito		Tarjeta de Crédito Banjercito Infinite	UNKNOWN	UNKNOWN	active	skeleton																	
banjercito__platinum	banjercito		Tarjeta de Crédito Banjercito Platinum	UNKNOWN	UNKNOWN	active	skeleton																	
banjercito__tradicional_clasica	banjercito		Tarjeta de Crédito Tradicional Clásica	UNKNOWN	UNKNOWN	active	skeleton																	
banorte__basica	banorte		Tarjeta de Crédito Banorte Básica	UNKNOWN	UNKNOWN	active	skeleton																	
banorte__clasica	banorte		Tarjeta de Crédito Banorte Clásica	clásica	visa_mastercard	active	mapped	UNKNOWN	FALSE	TRUE	UNKNOWN	UNKNOWN	points	UNKNOWN	UNKNOWN	UNKNOWN	7000	FALSE	Up to 3 puntos per purchase	high	medium	medium	high	high
banorte__infinite	banorte		Tarjeta de Crédito Banorte Infinite	UNKNOWN	UNKNOWN	active	skeleton																	
banorte__ke_buena	banorte		Tarjeta de Crédito Banorte Ke Buena	UNKNOWN	UNKNOWN	active	skeleton																	
banorte__one_up	banorte		Tarjeta de Crédito Banorte One Up	UNKNOWN	UNKNOWN	active	skeleton																	
banorte__oro	banorte		Tarjeta de Crédito Banorte Oro	UNKNOWN	UNKNOWN	active	skeleton																	
banorte__platinum	banorte		Tarjeta de Crédito Banorte Platinum	UNKNOWN	UNKNOWN	active	skeleton																	
